component (CVS directory),bug #,contributor's name,contribution size,committer,description if there is no bug #
,Bug 132156 ,Sebastian Davids,,,[Dialogs] Progress Preferences dialog problems
,Bug 132158,Sebastian Davids,,," [Progress] Job, Operation, Task used interchangably"
,Bug 77332,Sebastian Davids,,, [Markers] Add task dialog improvements
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=113998 ,Sebastian Davids,,, ([JUnit] New Test Case Wizard: Class Under Test Dialog -- allow Enums) Fixed 3.2 M3
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128527,Sebastian Davids,,, ((PatchAttached)Add CVS Repository dialog -- anonymous user) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132077 ,Sebastian Davids,,,(Add CVS repository dialog - user field - whitespace handling)  (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132148,Sebastian Davids,,, ([Markers] [Dialogs] Set Limits dialog problems) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132156 ,Sebastian Davids,,,([Dialogs] Progress Preferences dialog problems) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132158,Sebastian Davids,,," ([Progress] Job, Operation, Task used interchangably) (3.2 M6)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132427,Sebastian Davids,,, ([Markers] TaskPropertiesDialog problems) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132479 ,Sebastian Davids,,,([FieldAssist] Field assist example improvements) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=19346 ,Sebastian Davids,,,"(Dialog font should be activated and used by other components.)  According to Bugzilla, still not fixed"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=20510 ,Sebastian Davids,,,(Add Bookmark action has wrong label in navigator or ...)    Fixed in 2002
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=25826,Sebastian Davids,,, (Collapse all action)   Fixed in 2002 (2.1 M3)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=27481,Sebastian Davids,,, (Images for menu items)   Fixed in 2.1 M5
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=38729 ,Sebastian Davids,,,([Preferences] NPE PreferencePage isValid)     Fixed in 2003
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=42056,Sebastian Davids,,, ([Dialogs] New Path Variable Dialog; lable alignment) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=73612,Sebastian Davids,,," ([Markers] ""Open All"" does not work with...) (3.2 M6)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=74959 ,Sebastian Davids,,,(CVS commit dialog; history should be in MRU order)   Fixed in 3.2 M1
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=77332,Sebastian Davids,,, ([Markers] Add task dialog improvements) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=77336,Sebastian Davids,,, ([Markers] [Dialogs] TableSortDialog does not use dialog font) (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=82064 ,Sebastian Davids,,,([Dialogs] TitleAreaDialog#setTitleImage cannot...) (3.2 RC2)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=90273,Sebastian Davids,,, ([Dialogs] ListSelectionDialog dialog alignment) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=129829,Shaun Skelton,,,Title Area Dialog enhancements
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105851 ,Simon Kaegi,,,(Allow per instance configuration of the framework) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=107909,Simon Kaegi,,,(Running without calling URL.setURLStreamHandlerFactory(...))  Fixed in 3.2 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=110994 ,Simon Kaegi,,,(Can't garbage collect a Plugin that uses PluginPreferences) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=112646,Simon Kaegi,,,(Threads aren't shutdown properly when the Platform is shu...);    Fixed in 3.2 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=117418,Simon Kaegi,,, (NPE in preferences) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=118471 ,Simon Kaegi,,,(BundleContext no longer valid in preferences) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=119069,Simon Kaegi,,, (ClassCircularityError in BundleCombinedPermission) Fixed in 3.2 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=121472,Simon Kaegi,,, (URLHandlerService factories should support multiplexing)  (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=122782 ,Simon Kaegi,,,"(HttpService should not use ""enum"" keywork for variable names.) (3.2 M6)"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125838 ,Simon Kaegi,,,(Warning in build N20060131-0010 for org.eclipse.equinox.log) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125839 ,Simon Kaegi,,,(Warning in build N20060131-0010 for org.eclipse.equinox.metatype) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125844 ,Simon Kaegi,,,(Warnings in build N20060131-0010 for org.eclipse.equinox.http) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=127214,Simon Kaegi,,, (Setting initial framework properties through EclipseStarter) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=129615,Simon Kaegi,,, (Preferences should optionally depend on the registry) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132239,Simon Kaegi,,, (Deadlock during Framework.close) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132495,Simon Kaegi,,, ([jobs] Jobs bundle does not restart correctly) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132528 ,Simon Kaegi,,,(versionAtLeast() uses method not defined in Foundation 1.1) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132696,Simon Kaegi,,, ([contenttype] Manifest cleanup. Should use Import-Package instead...) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132698 ,Simon Kaegi,,,([jobs] Manifest cleanup. Should use Import-Package instead...) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=104944 ,Stephan Michels,,,(Unnecessary code in JUnitProgressBar)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=42451 ,Steven Ketcham,,,([Dialogs] ImageRegistry throws null pointer exception ...)  Fixed in 20030804
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=63595 ,Ted Stockwell,,,(IPageLayout.addFastView regression (3.0M8 to 3.0M9))  Fixed in 3.0
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102422  ,Theodora Yeung,,,(Exception referencing class in large jar files)  Fixed 3.2  M2 (and 3.1.1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37155 ,Thierry Lach,,,([Preferences] StringButtonFieldEditor should disable...)   Fixed 2003-05-08
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=126673,Tim Hanson,,, (NPE in Buffer.addBufferChangedListener) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=137634 ,Tim Hanson,,,(CompilationParticipant not correctly recording new dependencies) (3.2 RC1)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=84496  ,Tim Hanson,,,([1.5][compiler] Capture Conversion not correctly implemented) Fixed in 3.1 M7 --- as initial step for proper capture conversion implementation in compiler
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=113019 ,Toshihiro Izumi,,,(Browser.setText() sometimes appends dust...)  (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=101540 ,Vadim Doreziouk,,,(False edit icon and inconsistent edit/unedit menu state...)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=109780 ,Vadim Doreziouk,,,"(Inconsistent function of the ""Configure projects to use...) Fixed in 3.2 M2"
,,Brian Bauman,,,Contributed code in areas of OSGi bundle development (on going)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=109452,Lars Millberg,,,Import/ Export PSF should remember last file
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=111250,Lars Millberg,,,"Dialog ""Overwrite Project?"" lacks  a ""not to all"" button"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=60698,Michael Fraenkel,,,Progress Concurrent Modifications Exceptions in…
,,Peter Shipton,,,Original implementation of /org.eclipse.jface/src/org/eclipse/jface/viewers/CustomHashatble.java
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=19524,Randy Hudson,,,Rezising workbench windows resized views
